study_hours,attendance_percent,previous_score,assignments_completed,sleep_hours,final_score
6.8,56.1,55.1,6,4.7,97.0
5.9,81.6,41.7,4,5.1,90.9
5.5,56.2,50.9,9,5.1,85.1
1.1,91.3,78.4,8,5.4,89.3
2.9,89.4,45.6,9,4.5,91.0
8.3,87.8,69.5,9,4.4,100
3.6,83.3,88.7,8,6.9,100
3.1,68.0,44.4,6,8.3,80.5
4.4,75.4,85.9,5,5.9,99.2
9.4,84.2,73.5,5,6.7,100
3.2,75.8,54.8,6,7.4,90.4
3.1,56.4,57.3,7,4.3,76.2
9.2,80.5,79.5,6,7.3,100
5.1,66.9,53.6,7,7.7,97.6
4.9,81.3,59.9,5,6.5,93.8
2.0,83.2,83.6,9,7.0,99.6
4.5,81.8,65.7,7,8.9,99.1
7.5,85.7,69.5,7,7.8,100
4.1,68.2,48.7,3,8.8,84.2
5.5,63.0,90.2,7,8.2,100
5.6,64.0,60.6,5,6.7,92.4
1.0,69.6,41.1,8,8.4,72.6
8.5,68.8,43.2,4,4.4,90.9
7.8,89.5,47.1,10,8.7,100
2.5,78.7,73.4,6,8.6,92.7
7.4,73.0,76.9,8,6.2,100
5.7,60.4,52.4,8,4.1,85.9
1.1,86.9,43.2,4,8.5,74.2
8.7,58.2,53.1,10,5.1,100
6.1,76.3,83.2,9,5.0,100
1.9,74.4,63.3,10,8.3,97.7
6.8,57.7,80.1,4,5.2,100
2.7,75.2,63.2,7,6.3,89.7
8.3,93.5,45.4,3,8.8,98.7
9.3,93.2,49.1,10,6.4,100
2.5,55.1,61.5,10,5.4,80.5
7.3,87.9,83.1,10,4.8,100
6.2,79.4,81.1,3,4.3,100
5.3,96.4,69.2,3,8.8,100
6.4,85.4,52.9,4,8.7,97.4
6.1,81.1,42.2,4,6.1,84.2
9.4,64.2,79.4,6,5.3,100
2.2,84.0,65.1,4,4.0,79.2
1.9,79.2,67.8,5,8.7,83.6
8.9,94.6,60.3,5,6.2,100
9.9,91.3,69.1,7,8.7,100
1.9,94.5,54.5,4,7.7,85.3
2.9,70.4,77.8,7,6.5,96.1
3.3,95.9,42.8,9,8.1,96.0
2.2,99.1,48.9,10,6.8,93.4
4.8,55.4,44.1,5,6.7,84.0
2.3,60.7,57.0,3,8.5,72.7
2.9,66.2,45.7,9,8.9,86.3
3.1,62.3,84.0,5,8.4,83.6
1.2,88.1,58.3,9,8.0,94.2
3.4,90.4,45.9,3,8.3,77.8
3.0,91.7,65.3,7,8.1,97.3
6.9,72.9,55.3,4,8.8,93.9
3.5,83.9,62.0,8,8.7,100
2.6,98.3,54.6,4,7.0,93.1
4.1,90.4,64.0,4,5.9,88.8
7.4,55.1,90.9,6,5.8,100
1.6,84.9,58.2,8,7.3,93.9
5.6,85.0,57.9,7,6.8,100
2.7,84.9,60.9,5,7.1,85.7
1.0,67.9,63.6,8,6.3,88.0
5.0,64.6,66.0,5,7.3,90.9
6.6,59.2,92.4,6,7.4,100
3.0,64.0,41.3,6,8.9,74.6
5.1,94.9,71.7,9,6.5,100
3.2,84.5,40.3,4,7.9,82.1
7.3,75.9,70.7,4,6.3,100
8.2,85.0,94.3,8,8.8,100
7.5,77.7,85.7,10,8.5,100
7.7,76.4,54.3,6,8.2,100
5.4,65.8,64.2,7,5.2,100
4.0,95.2,44.4,5,5.2,84.3
1.6,73.3,69.8,9,4.3,82.6
8.5,72.5,82.3,3,8.3,100
1.1,70.8,81.4,9,6.7,88.5
7.6,91.0,89.4,10,5.1,100
4.0,85.6,62.2,5,8.2,93.3
9.3,99.1,69.4,9,7.0,100
4.9,94.0,50.0,7,5.9,93.3
2.9,69.7,81.9,9,5.4,100
8.5,76.2,81.2,3,9.0,100
4.1,84.3,83.0,3,7.8,99.3
1.2,61.9,46.9,4,6.8,69.9
